"ape_preco","ape_precom2","ape_area","ape_dorm","ape_suite","ape_banheiro","ape_vaga","cond_nome","cond_end","cond_ano","cond_n_torres","cond_elevador","salao.de.festas","espaco.gourmet","academia","salao.de.jogos","brinquedoteca","playground","churrasqueira","quadra","area.verde","piscina","espaco.zen","lavanderia","coworking","espaco.mulher","salao.de.festas.infantil","zeu","sp_nome","latitude","longitude","gi_df"
7988267.07,24039.33,332.3,4,4,4,5,"067 HERMANN JUNIOR","av professor frederico herman, 101 junior, 67 . pinheiros",2018,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,"PINHEIROS",-23.5594239,-46.6995914,1
7715760.51,26981.02,285.97,4,4,4,4,"067 HERMANN JUNIOR","av professor frederico herman, 101 junior, 67 . pinheiros",2018,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,"PINHEIROS",-23.5594239,-46.6995914,1
15278128.12,27253.17,560.6,4,4,4,5,"067 HERMANN JUNIOR","av professor frederico herman, 101 junior, 67 . pinheiros",2018,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,"PINHEIROS",-23.5594239,-46.6995914,1
14153428.63,28199.14,501.91,5,5,5,6,"106 SERIDO","r serido, 106 . jardim europa",2012,2,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,"PINHEIROS",-23.5829297,-46.690089,1
11328486.82,27957.78,405.2,4,4,4,5,"106 SERIDO","r serido, 106 . jardim europa",2012,2,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,"PINHEIROS",-23.5829297,-46.690089,1
25414748.67,35419.77,717.53,4,4,4,7,"106 SERIDO","r serido, 106 . jardim europa",2012,2,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,"PINHEIROS",-23.5829297,-46.690089,1
31901206.02,34266.63,930.97,5,5,5,8,"106 SERIDO","r serido, 106 . jardim europa",2012,2,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,"PINHEIROS",-23.5829297,-46.690089,1
11627726.37,28696.26,405.2,4,4,5,5,"106 SERIDO","r serido, 106 . jardim europa",2012,2,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,"PINHEIROS",-23.5829297,-46.690089,1
14517982.07,28925.46,501.91,5,5,5,6,"106 SERIDO","r serido, 106 . jardim europa",2012,2,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,"PINHEIROS",-23.5829297,-46.690089,1
31752281.07,34106.66,930.97,5,5,5,8,"106 SERIDO","r serido, 106 . jardim europa",2012,2,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,"PINHEIROS",-23.5829297,-46.690089,1
24760220.06,34507.58,717.53,4,4,4,7,"106 SERIDO","r serido, 106 . jardim europa",2012,2,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,"PINHEIROS",-23.5829297,-46.690089,1
3392875.86,32313.11,105,2,2,3,2,"1125 JOAQUIM","joaquim floriano, 1125 . itaim bibi",0,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,"PINHEIROS",-23.5863128,-46.6808273,1
