"ape_preco","ape_precom2","ape_area","ape_dorm","ape_suite","ape_banheiro","ape_vaga","cond_nome","cond_end","cond_ano","cond_n_torres","cond_elevador","salao.de.festas","espaco.gourmet","academia","salao.de.jogos","brinquedoteca","playground","churrasqueira","quadra","area.verde","piscina","espaco.zen","lavanderia","coworking","zeu","sp_nome","latitude","longitude","gi_df"
"880.000",8627,102,2,1,2,2,"condominio montecatini","rua francisco cruz, 239 . aclimacao",1993,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,"VILA MARIANA",-23.5904622,-46.6327863,0
"1.175.000",8703,135,4,1,2,2,"condominio saint paul de vence","rua bartolomeu de gusmao, 452 . aclimacao",1992,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,"VILA MARIANA",-23.5870405,-46.6317352,0
"1.570.000",8532,184,3,1,3,2,"condominio summer hill","rua rodrigo claudio, 493 . aclimacao",1993,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,"SE",-23.5741966,-46.635491,0
"1.100.000",13.095,84,3,1,2,2,"condominio essencialy vila mariana","rua gaspar lourenco, 200 . aclimacao",2008,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,"VILA MARIANA",-23.5817346,-46.6349006,0
"1.050.000",8898,118,3,1,3,2,"condominio baia blanca","rua urano, 18 . aclimacao",1977,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,"SE",-23.5707691,-46.6364455,0
"3.680.000",13.529,272,4,1,4,6,"ND","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"600.000",8108,74,2,1,2,2,"condominio . sao jose","rua paula ney, 174 . aclimacao",1993,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"VILA MARIANA",-23.5767322,-46.6348048,0
"1.058.000",13.921,76,2,1,3,1,"condominio new parker","rua almeida torres, 141 . aclimacao",2015,3,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,"SE",-23.5683359,-46.6276578,0
"1.250.000",7485,167,2,1,4,2,"ND","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"720.000",5625,128,2,0,1,1,"condominio santa maria","rua jose getulio, 461 . aclimacao",1954,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,"SE",-23.5692642,-46.6338027,0
"1.400.000",10.218,137,3,1,3,2,"condominio residencial aclimacao","rua doutor nicolau de sousa queiros, 297 . aclimacao",1973,3,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,"VILA MARIANA",-23.5788122,-46.6388122,0
"890.000",6846,130,3,0,2,1,"condominio maria & josephina","rua correia dias, 476 . aclimacao",1978,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,"VILA MARIANA",-23.5769688,-46.6384991,0
"4.050.000",14.889,272,4,1,5,6,"ND","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"540.000",11.489,47,2,0,1,0,"condominio hello vila mariana","rua gaspar lourenco, 260 . aclimacao",2021,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,"VILA MARIANA",-23.5822187,-46.6344025,0
"1.850.000",8043,230,4,1,4,3,"condominio ramalho bosisio","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"6.700.000",17.179,390,2,1,5,6,"ND","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2.800.000",8187,342,4,1,6,4,"condominio diamond tower","rua castro alves, 488 . aclimacao",1992,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,"SE",-23.5697871,-46.6363925,0
"670.000",7976,84,2,0,2,0,"condominio dom casmurro","rua machado de assis 165, aclimacao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"VILA MARIANA",-23.5816327,-46.6362048,0
"750.000",9493,79,3,1,2,2,"condominio piazzeta di portofino","rua bueno de andrade, 706 . aclimacao",2005,2,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,"SE",-23.5666812,-46.631205,0
"2.395.000",15.966,150,3,1,5,3,"condominio cyrela legacy vila mariana","rua dona carolina, 60 . aclimacao",2017,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,"VILA MARIANA",-23.5838238,-46.6314971,0
"1.255.000",16.513,76,2,1,3,1,"condominio new parker","rua almeida torres, 141 . aclimacao",2015,3,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,"SE",-23.5683359,-46.6276578,0
"750.000",15.306,49,2,1,2,1,"condominio vn casa topazio","rua topazio, 701 . aclimacao",2016,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,"VILA MARIANA",-23.5763014,-46.6350121,0
"3.000.000",16.574,181,3,1,4,3,"ND","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"1.244.170",10.818,115,3,1,2,2,"condominio belvedere","avenida armando ferrentini, 320 . aclimacao",1996,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,"SE",-23.574232,-46.6344656,0
"426.000",7888,54,2,0,1,1,"condominio plaza","rua conselheiro furtado, 1265 . aclimacao",2013,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,"SE",-23.5642916,-46.6322604,0
"1.550.000",20.945,74,1,1,2,2,"condominio retrato paulista","rua nilo, 170 . aclimacao",2017,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,"SE",-23.5714292,-46.6375001,0
"1.870.000",7480,250,4,1,5,2,"condominio glen miller","rua castro alves, 910 . aclimacao",1991,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,"SE",-23.572644,-46.6336452,0
"460.000",7187,64,2,0,2,1,"condominio camboriu","avenida armando ferrentini, 563 . aclimacao",1979,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,"VILA MARIANA",-23.5757478,-46.6358439,0
"1.390.000",8176,170,4,1,4,3,"ND","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"950.000",10000,120,3,1,3,2,"condominio fabia","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"1.758.251",7992,220,4,1,5,3,"condominio aramanta","rua jupiter, 149 . aclimacao",1989,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,"SE",-23.5725797,-46.6343848,0
"1.500.000",14.15,106,3,1,4,2,"condominio residencial aclimacao","rua doutor nicolau de sousa queiros, 297 . aclimacao",1973,3,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,"VILA MARIANA",-23.5788122,-46.6388122,0
"970.000",12.763,76,2,1,3,1,"condominio new parker","rua almeida torres, 141 . aclimacao",2015,3,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,"SE",-23.5683359,-46.6276578,0
"710.000",7473,95,3,1,3,2,"condominio seyde haddad sabbag","rua rodrigo claudio, 197 . aclimacao",1982,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,"SE",-23.5717843,-46.6355052,0
"500.000",7142,70,2,0,2,1,"condominio miami ii","rua alvaro neto, 212 . aclimacao",1972,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,"VILA MARIANA",-23.5842444,-46.6281708,0
"1.100.000",7534,146,3,1,3,2,"ND","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"800.000",7017,114,3,0,2,3,"condominio evolucao","rua topazio, 878 . aclimacao",1970,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"VILA MARIANA",-23.5776041,-46.6358006,0
"630.000",10000,63,2,0,2,1,"condominio aruja","rua doutor neto de araujo, 187 . aclimacao",1989,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,"VILA MARIANA",-23.586965,-46.6328988,0
"849.900",7082,120,3,1,3,1,"condominio estrela polar","rua gaspar lourenco, 65 . aclimacao",1975,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,"VILA MARIANA",-23.5805491,-46.6351939,0
"2.340.000",9360,250,4,1,4,3,"condominio casaredo","rua jupiter, 186 . aclimacao",1987,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,"SE",-23.5724433,-46.6347916,0
"546.035",7690,71,2,0,2,1,"condominio graziela","rua bartolomeu de gusmao, 412 . aclimacao",1988,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,"VILA MARIANA",-23.5867108,-46.6318694,0
"2.650.000",14.402,184,3,1,5,3,"condominio verace","rua artur saboia, 205 . aclimacao",2006,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,"VILA MARIANA",-23.5762896,-46.6372362,0
"1.500.000",11.538,130,4,1,4,3,"condominio villa d'este","rua doutor nicolau de sousa queiros, 194 . aclimacao",1989,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,"VILA MARIANA",-23.57821,-46.638708,0
"997.000",5864,170,4,1,2,2,"ND","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"1.970.000",18.24,108,3,1,3,2,"condominio retrato paulista","rua nilo, 170 . aclimacao",2017,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,"SE",-23.5714292,-46.6375001,0
"640.000",12.307,52,2,0,1,1,"condominio . code aclimacao","rua bueno de andrade, 662 . aclimacao",2016,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,"SE",-23.5662563,-46.6312868,0
"1.230.000",9179,134,3,1,3,2,"condominio paco de sorrento","rua castro alves, 908 . aclimacao",1986,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,"SE",-23.5725321,-46.6337852,0
"904.000",13.907,65,2,1,2,2,"condominio hall paulistano","avenida lins de vasconcelos, 2880 . aclimacao",2008,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,"VILA MARIANA",-23.5871442,-46.6290189,0
"760.000",9268,82,3,1,2,2,"condominio buriti","rua alvaro neto, 428 . aclimacao",1995,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,"VILA MARIANA",-23.5824898,-46.6282632,0
